epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18655,0,107.053,0,0,0,0,0,0,59.4375,0,7.145e-05,7.145e-05,7.145e-05
2,5.63151,0,106.465,0,0,0,0,0,0,59.4375,0,0.000155634,0.000155634,0.000155634
3,6.89787,0,102.097,0,0,0,0,0,0,59.4375,0,0.00023812,0.00023812,0.00023812
4,8.13523,0,95.799,0,0,0,0,0,0,59.5938,0,0.000318909,0.000318909,0.000318909
5,9.46949,0,90.0247,0,0,0,0,0,0,59.4375,0,0.000397999,0.000397999,0.000397999
6,10.5673,0,84.5447,0,0,0,0,0,0,59.4375,0,0.000475393,0.000475393,0.000475393
7,11.674,0,81.6787,0,0,0,0,0,0,55.9375,0,0.000551088,0.000551088,0.000551088
8,13.0879,0,79.6929,0,0,0,0,0,0,63.4375,0,0.000625086,0.000625086,0.000625086
9,14.5113,0,77.9315,0,0,0,0,0,0,60.0625,0,0.000697386,0.000697386,0.000697386
10,15.8078,0,74.3799,0,0,0,0,0,0,568.5,0,0.000767989,0.000767989,0.000767989
11,16.9531,0,72.5791,0,0,0,0,0,0,69.5625,0,0.000836894,0.000836894,0.000836894
12,17.1593,0,71.5125,0,0,0,0,0,0,236.75,0,0.000904101,0.000904101,0.000904101
13,18.2652,0,69.5467,0,0,0,0,0,0,9568,0,0.000969611,0.000969611,0.000969611
14,19.3509,0,67.8626,0,0,0,0,0,0,9280,0,0.00103342,0.00103342,0.00103342
15,20.5337,0,65.9279,0,0,0,0,0,0,57,0,0.00109554,0.00109554,0.00109554
16,21.9002,0,64.7673,0,0,0,0,0,0,104.438,0,0.00115595,0.00115595,0.00115595
17,23.0737,0,63.3861,0,0,0,0,0,0,65.25,0,0.00120265,0.00120265,0.00120265
18,24.2909,0,62.2367,0,0,0,0,0,0,49.4062,0,0.0011885,0.0011885,0.0011885
19,25.4703,0,60.5916,0,0,0,0,0,0,52.3438,0,0.00117435,0.00117435,0.00117435
20,26.782,0,59.2118,0,0,0,0,0,0,56.75,0,0.00116021,0.00116021,0.00116021
21,28.1493,0,57.5968,0,0,0,0,0,0,56.1562,0,0.00114606,0.00114606,0.00114606
22,29.6121,0,56.48,0,0,0,0,0,0,63.3125,0,0.00113191,0.00113191,0.00113191
23,30.7586,0,55.1246,0,0,0,0,0,0,48.4688,0,0.00111776,0.00111776,0.00111776
24,32.0056,0,53.748,0,0,0,0,0,0,42.75,0,0.00110362,0.00110362,0.00110362
